step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
162,5.4524,,233.31,,380733,5508.2,5508.2,339738624,922.3,922.3,2.93e-04,0.6197,bf16,125M,64,32,2048,142461696,1
163,5.4685,,237.12,,383210,5472.6,5472.6,341835776,927.8,927.8,2.93e-04,0.5699,bf16,125M,64,32,2048,142461696,1
164,5.4437,,231.29,,378717,5537.5,5537.5,343932928,933.3,933.3,2.93e-04,0.5816,bf16,125M,64,32,2048,142461696,1
165,5.4599,,235.06,,382760,5479.0,5479.0,346030080,938.8,938.8,2.93e-04,0.6132,bf16,125M,64,32,2048,142461696,1
166,5.4136,,224.44,,380071,5517.8,5517.8,348127232,944.3,944.3,2.92e-04,0.6836,bf16,125M,64,32,2048,142461696,1
167,5.4034,,222.16,,380298,5514.5,5514.5,350224384,949.8,949.8,2.92e-04,0.8101,bf16,125M,64,32,2048,142461696,1
168,5.4788,,239.56,,378477,5541.0,5541.0,352321536,955.4,955.4,2.92e-04,1.0594,bf16,125M,64,32,2048,142461696,1
169,5.4186,,225.56,,380138,5516.8,5516.8,354418688,960.9,960.9,2.92e-04,1.0618,bf16,125M,64,32,2048,142461696,1
170,5.4035,,222.19,,375237,5588.9,5588.9,356515840,966.5,966.5,2.92e-04,0.6335,bf16,125M,64,32,2048,142461696,1
171,5.3824,,217.54,,381909,5491.2,5491.2,358612992,972.0,972.0,2.92e-04,0.8787,bf16,125M,64,32,2048,142461696,1
172,5.3385,,208.21,,370689,5657.4,5657.4,360710144,977.6,977.6,2.92e-04,0.5791,bf16,125M,64,32,2048,142461696,1
173,5.3984,,221.04,,374694,5597.0,5597.0,362807296,983.2,983.2,2.92e-04,0.6172,bf16,125M,64,32,2048,142461696,1
174,5.4074,,223.04,,379592,5524.8,5524.8,364904448,988.8,988.7,2.92e-04,0.4942,bf16,125M,64,32,2048,142461696,1
175,5.3826,,217.59,,384251,5457.8,5457.8,367001600,994.2,994.2,2.91e-04,0.5066,bf16,125M,64,32,2048,142461696,1
176,5.3602,,212.76,,383857,5463.4,5463.4,369098752,999.7,999.7,2.91e-04,0.4563,bf16,125M,64,32,2048,142461696,1
177,5.4027,,222.02,,382108,5488.4,5488.4,371195904,1005.2,1005.2,2.91e-04,0.4394,bf16,125M,64,32,2048,142461696,1
178,5.3578,,212.27,,380316,5514.2,5514.2,373293056,1010.7,1010.7,2.91e-04,0.5694,bf16,125M,64,32,2048,142461696,1
179,5.3645,,213.68,,381550,5496.4,5496.4,375390208,1016.2,1016.2,2.91e-04,0.7071,bf16,125M,64,32,2048,142461696,1
180,5.3378,,208.06,,374214,5604.2,5604.2,377487360,1021.8,1021.8,2.91e-04,0.8034,bf16,125M,64,32,2048,142461696,1
181,5.3039,,201.11,,381436,5498.0,5498.0,379584512,1027.3,1027.3,2.91e-04,0.8377,bf16,125M,64,32,2048,142461696,1
182,5.3839,,217.87,,376770,5566.1,5566.1,381681664,1032.8,1032.8,2.91e-04,0.7630,bf16,125M,64,32,2048,142461696,1
183,5.3276,,205.94,,378951,5534.1,5534.1,383778816,1038.4,1038.4,2.91e-04,0.6929,bf16,125M,64,32,2048,142461696,1
184,5.2792,,196.21,,380444,5512.4,5512.4,385875968,1043.9,1043.9,2.90e-04,0.7274,bf16,125M,64,32,2048,142461696,1
185,5.3540,,211.46,,381527,5496.7,5496.7,387973120,1049.4,1049.4,2.90e-04,0.7561,bf16,125M,64,32,2048,142461696,1
186,5.2109,,183.26,,377296,5558.4,5558.4,390070272,1054.9,1054.9,2.90e-04,0.7031,bf16,125M,64,32,2048,142461696,1
187,5.3091,,202.16,,383869,5463.2,5463.2,392167424,1060.4,1060.4,2.90e-04,0.4493,bf16,125M,64,32,2048,142461696,1
188,5.2797,,196.31,,382025,5489.6,5489.6,394264576,1065.9,1065.9,2.90e-04,0.4970,bf16,125M,64,32,2048,142461696,1
189,5.2785,,196.07,,368716,5687.7,5687.7,396361728,1071.6,1071.6,2.90e-04,0.5395,bf16,125M,64,32,2048,142461696,1
