step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
139,10.8302,,50521.89,,2900294,180.8,180.8,72876032,57.9,57.9,5.81e-04,0.0399,bf16,125M,32,2,512,143248128,8
140,10.8299,,50506.14,,2887369,181.6,181.6,73400320,58.1,58.1,5.80e-04,0.0399,bf16,125M,32,2,512,143248128,8
141,10.8298,,50503.30,,2919470,179.6,179.6,73924608,58.2,58.2,5.80e-04,0.0399,bf16,125M,32,2,512,143248128,8
142,10.8303,,50531.00,,2903733,180.6,180.6,74448896,58.4,58.4,5.80e-04,0.0401,bf16,125M,32,2,512,143248128,8
143,10.8307,,50549.61,,2888101,181.5,181.5,74973184,58.6,58.6,5.79e-04,0.0404,bf16,125M,32,2,512,143248128,8
144,10.8308,,50554.52,,2894968,181.1,181.1,75497472,58.8,58.8,5.79e-04,0.0404,bf16,125M,32,2,512,143248128,8
145,10.8309,,50561.03,,2888541,181.5,181.5,76021760,59.0,59.0,5.79e-04,0.0404,bf16,125M,32,2,512,143248128,8
146,10.8312,,50573.33,,2893117,181.2,181.2,76546048,59.1,59.1,5.78e-04,0.0406,bf16,125M,32,2,512,143248128,8
147,10.8308,,50554.38,,2903825,180.6,180.6,77070336,59.3,59.3,5.78e-04,0.0401,bf16,125M,32,2,512,143248128,8
148,10.8303,,50528.78,,2897642,180.9,180.9,77594624,59.5,59.5,5.78e-04,0.0404,bf16,125M,32,2,512,143248128,8
149,10.8302,,50525.65,,2855626,183.6,183.6,78118912,59.7,59.7,5.77e-04,0.0399,bf16,125M,32,2,512,143248128,8
150,10.8302,,50526.04,,2832669,185.1,185.1,78643200,59.9,59.9,5.77e-04,0.0399,bf16,125M,32,2,512,143248128,8
151,10.8300,,50514.38,,2902495,180.6,180.6,79167488,60.1,60.1,5.77e-04,0.0399,bf16,125M,32,2,512,143248128,8
152,10.8301,,50519.68,,2904036,180.5,180.5,79691776,60.2,60.2,5.76e-04,0.0399,bf16,125M,32,2,512,143248128,8
153,10.8304,,50535.48,,2902974,180.6,180.6,80216064,60.4,60.4,5.76e-04,0.0401,bf16,125M,32,2,512,143248128,8
154,10.8310,,50564.65,,2884090,181.8,181.8,80740352,60.6,60.6,5.75e-04,0.0406,bf16,125M,32,2,512,143248128,8
155,10.8311,,50568.31,,2900237,180.8,180.8,81264640,60.8,60.8,5.75e-04,0.0406,bf16,125M,32,2,512,143248128,8
156,10.8311,,50567.11,,2895261,181.1,181.1,81788928,61.0,61.0,5.75e-04,0.0404,bf16,125M,32,2,512,143248128,8
157,10.8309,,50558.52,,2873736,182.4,182.4,82313216,61.1,61.1,5.74e-04,0.0404,bf16,125M,32,2,512,143248128,8
158,10.8306,,50542.28,,2860927,183.3,183.3,82837504,61.3,61.3,5.74e-04,0.0404,bf16,125M,32,2,512,143248128,8
159,10.8302,,50525.65,,2887157,181.6,181.6,83361792,61.5,61.5,5.74e-04,0.0401,bf16,125M,32,2,512,143248128,8
160,10.8296,,50492.99,,2889805,181.4,181.4,83886080,61.7,61.7,5.73e-04,0.0396,bf16,125M,32,2,512,143248128,8
161,10.8296,,50494.24,,2838845,184.7,184.7,84410368,61.9,61.9,5.73e-04,0.0399,bf16,125M,32,2,512,143248128,8
162,10.8296,,50495.83,,2890033,181.4,181.4,84934656,62.1,62.1,5.73e-04,0.0399,bf16,125M,32,2,512,143248128,8
163,10.8303,,50527.58,,2907799,180.3,180.3,85458944,62.2,62.2,5.72e-04,0.0399,bf16,125M,32,2,512,143248128,8
164,10.8303,,50531.00,,2909646,180.2,180.2,85983232,62.4,62.4,5.72e-04,0.0401,bf16,125M,32,2,512,143248128,8
165,10.8307,,50547.00,,2893101,181.2,181.2,86507520,62.6,62.6,5.71e-04,0.0404,bf16,125M,32,2,512,143248128,8
166,10.8304,,50534.18,,2887472,181.6,181.6,87031808,62.8,62.8,5.71e-04,0.0401,bf16,125M,32,2,512,143248128,8
167,10.8301,,50520.93,,2889323,181.5,181.5,87556096,63.0,63.0,5.71e-04,0.0401,bf16,125M,32,2,512,143248128,8
168,10.8302,,50521.99,,2895006,181.1,181.1,88080384,63.1,63.1,5.70e-04,0.0401,bf16,125M,32,2,512,143248128,8
169,10.8297,,50500.36,,2909103,180.2,180.2,88604672,63.3,63.3,5.70e-04,0.0399,bf16,125M,32,2,512,143248128,8
170,10.8297,,50496.65,,2915471,179.8,179.8,89128960,63.5,63.5,5.69e-04,0.0402,bf16,125M,32,2,512,143248128,8
171,10.8294,,50484.42,,2903154,180.6,180.6,89653248,63.7,63.7,5.69e-04,0.0400,bf16,125M,32,2,512,143248128,8
172,10.8293,,50479.56,,2890310,181.4,181.4,90177536,63.9,63.9,5.69e-04,0.0399,bf16,125M,32,2,512,143248128,8
173,10.8295,,50487.07,,2859417,183.4,183.4,90701824,64.0,64.0,5.68e-04,0.0399,bf16,125M,32,2,512,143248128,8
174,10.8298,,50501.95,,2847380,184.1,184.1,91226112,64.2,64.2,5.68e-04,0.0400,bf16,125M,32,2,512,143248128,8
175,10.8302,,50525.65,,2854051,183.7,183.7,91750400,64.4,64.4,5.67e-04,0.0401,bf16,125M,32,2,512,143248128,8
176,10.8300,,50512.16,,2907142,180.3,180.3,92274688,64.6,64.6,5.67e-04,0.0401,bf16,125M,32,2,512,143248128,8
177,10.8301,,50516.88,,2901993,180.7,180.7,92798976,64.8,64.8,5.67e-04,0.0399,bf16,125M,32,2,512,143248128,8
178,10.8300,,50511.34,,2868529,182.8,182.8,93323264,65.0,65.0,5.66e-04,0.0396,bf16,125M,32,2,512,143248128,8
179,10.8300,,50514.57,,2916426,179.8,179.8,93847552,65.1,65.1,5.66e-04,0.0404,bf16,125M,32,2,512,143248128,8
180,10.8298,,50503.78,,2907107,180.3,180.3,94371840,65.3,65.3,5.65e-04,0.0399,bf16,125M,32,2,512,143248128,8
