step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
80,10.9005,,54201.56,,66458,986.1,986.1,5242880,159.0,159.0,5.95e-04,0.1949,fp8_tensorwise,1.5B,32,2,64,1564837888,1
81,10.9032,,54348.90,,66215,989.7,989.7,5308416,160.0,160.0,5.95e-04,0.1950,fp8_tensorwise,1.5B,32,2,64,1564837888,1
82,10.9030,,54337.29,,66282,988.7,988.7,5373952,161.0,161.0,5.95e-04,0.1952,fp8_tensorwise,1.5B,32,2,64,1564837888,1
83,10.8981,,54072.64,,65898,994.5,994.5,5439488,162.0,162.0,5.95e-04,0.1941,fp8_tensorwise,1.5B,32,2,64,1564837888,1
84,10.8971,,54019.61,,66065,992.0,992.0,5505024,163.0,163.0,5.94e-04,0.1932,fp8_tensorwise,1.5B,32,2,64,1564837888,1
85,10.8903,,53650.93,,66255,989.1,989.1,5570560,164.0,164.0,5.94e-04,0.1921,fp8_tensorwise,1.5B,32,2,64,1564837888,1
86,10.8893,,53597.74,,66142,990.8,990.8,5636096,165.0,164.9,5.94e-04,0.1921,fp8_tensorwise,1.5B,32,2,64,1564837888,1
87,10.8877,,53512.78,,66188,990.2,990.2,5701632,165.9,165.9,5.94e-04,0.1900,fp8_tensorwise,1.5B,32,2,64,1564837888,1
88,10.8862,,53432.16,,66123,991.1,991.1,5767168,166.9,166.9,5.94e-04,0.1909,fp8_tensorwise,1.5B,32,2,64,1564837888,1
89,10.8846,,53348.58,,66455,986.2,986.2,5832704,167.9,167.9,5.93e-04,0.1909,fp8_tensorwise,1.5B,32,2,64,1564837888,1
90,10.8877,,53511.48,,66312,988.3,988.3,5898240,168.9,168.9,5.93e-04,0.1908,fp8_tensorwise,1.5B,32,2,64,1564837888,1
91,10.8899,,53633.33,,65924,994.1,994.1,5963776,169.9,169.9,5.93e-04,0.1909,fp8_tensorwise,1.5B,32,2,64,1564837888,1
92,10.8956,,53940.51,,66451,986.2,986.2,6029312,170.9,170.9,5.93e-04,0.1948,fp8_tensorwise,1.5B,32,2,64,1564837888,1
93,10.8986,,54102.20,,66056,992.1,992.1,6094848,171.9,171.9,5.93e-04,0.1940,fp8_tensorwise,1.5B,32,2,64,1564837888,1
94,10.8993,,54137.25,,66342,987.9,987.9,6160384,172.9,172.9,5.92e-04,0.1941,fp8_tensorwise,1.5B,32,2,64,1564837888,1
95,10.9008,,54219.84,,66402,987.0,987.0,6225920,173.9,173.9,5.92e-04,0.1951,fp8_tensorwise,1.5B,32,2,64,1564837888,1
96,10.8998,,54163.94,,66184,990.2,990.2,6291456,174.8,174.8,5.92e-04,0.1951,fp8_tensorwise,1.5B,32,2,64,1564837888,1
97,10.8971,,54021.05,,66285,988.7,988.7,6356992,175.8,175.8,5.92e-04,0.1951,fp8_tensorwise,1.5B,32,2,64,1564837888,1
98,10.8970,,54014.97,,66208,989.8,989.8,6422528,176.8,176.8,5.92e-04,0.1941,fp8_tensorwise,1.5B,32,2,64,1564837888,1
99,10.8938,,53844.07,,66326,988.1,988.1,6488064,177.8,177.8,5.91e-04,0.1940,fp8_tensorwise,1.5B,32,2,64,1564837888,1
100,10.8933,,53812.14,,66010,992.8,992.8,6553600,178.8,178.8,5.91e-04,0.1940,fp8_tensorwise,1.5B,32,2,64,1564837888,1
101,10.8903,,53651.00,,66662,983.1,983.1,6619136,179.8,179.8,5.91e-04,0.1919,fp8_tensorwise,1.5B,32,2,64,1564837888,1
102,10.8921,,53749.25,,66335,988.0,988.0,6684672,180.8,180.8,5.91e-04,0.1939,fp8_tensorwise,1.5B,32,2,64,1564837888,1
