step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
102,7.9930,,2960.24,,4597,7128.0,7128.0,3342336,731.4,731.4,3.06e-04,1.5611,bf16,1.5B,32,1564837888
103,7.7735,,2376.72,,4595,7131.6,7131.6,3375104,738.5,738.5,3.09e-04,1.0414,bf16,1.5B,32,1564837888
104,7.7963,,2431.57,,4594,7133.0,7133.0,3407872,745.7,745.6,3.12e-04,1.6686,bf16,1.5B,32,1564837888
105,7.7896,,2415.42,,4597,7128.4,7128.4,3440640,752.8,752.7,3.15e-04,1.6352,bf16,1.5B,32,1564837888
106,7.6827,,2170.38,,4604,7117.6,7117.6,3473408,759.9,759.9,3.18e-04,0.9319,bf16,1.5B,32,1564837888
107,7.8052,,2453.36,,4594,7132.1,7132.1,3506176,767.0,767.0,3.21e-04,1.1115,bf16,1.5B,32,1564837888
108,7.7022,,2213.29,,4596,7128.9,7128.9,3538944,774.2,774.1,3.24e-04,1.1584,bf16,1.5B,32,1564837888
109,7.7889,,2413.75,,4596,7130.3,7130.3,3571712,781.3,781.3,3.27e-04,1.0721,bf16,1.5B,32,1564837888
110,7.8339,,2524.88,,4594,7132.9,7132.9,3604480,788.4,788.4,3.30e-04,1.0168,bf16,1.5B,32,1564837888
111,7.6697,,2142.52,,4580,7154.0,7154.0,3637248,795.6,795.5,3.33e-04,1.3453,bf16,1.5B,32,1564837888
112,7.9250,,2765.53,,4565,7178.5,7178.5,3670016,802.8,802.7,3.36e-04,1.0515,bf16,1.5B,32,1564837888
113,7.7178,,2248.04,,4587,7143.9,7143.9,3702784,809.9,809.9,3.39e-04,0.9660,bf16,1.5B,32,1564837888
114,7.7333,,2283.12,,4586,7144.7,7144.7,3735552,817.0,817.0,3.42e-04,0.9137,bf16,1.5B,32,1564837888
115,7.6746,,2152.90,,4584,7148.2,7148.2,3768320,824.2,824.2,3.45e-04,1.1308,bf16,1.5B,32,1564837888
116,7.5682,,1935.59,,4599,7125.2,7125.2,3801088,831.3,831.3,3.48e-04,0.8924,bf16,1.5B,32,1564837888
117,7.5585,,1916.88,,4577,7159.2,7159.2,3833856,838.5,838.4,3.51e-04,1.5368,bf16,1.5B,32,1564837888
118,7.6810,,2166.74,,4596,7130.1,7130.1,3866624,845.6,845.6,3.54e-04,2.0704,bf16,1.5B,32,1564837888
119,7.2393,,1393.14,,4583,7149.3,7149.3,3899392,852.8,852.7,3.57e-04,1.6607,bf16,1.5B,32,1564837888
120,7.7331,,2282.78,,4588,7141.8,7141.8,3932160,859.9,859.9,3.60e-04,0.9265,bf16,1.5B,32,1564837888
121,7.5321,,1867.01,,4590,7139.6,7139.6,3964928,867.0,867.0,3.63e-04,0.8622,bf16,1.5B,32,1564837888
122,7.7244,,2262.79,,4584,7147.6,7147.6,3997696,874.2,874.1,3.66e-04,1.3642,bf16,1.5B,32,1564837888
123,7.7869,,2408.79,,4587,7143.2,7143.2,4030464,881.3,881.3,3.69e-04,1.1225,bf16,1.5B,32,1564837888
124,7.5390,,1880.02,,4581,7152.3,7152.3,4063232,888.5,888.4,3.72e-04,0.9917,bf16,1.5B,32,1564837888
125,7.5285,,1860.27,,4592,7135.2,7135.2,4096000,895.6,895.6,3.75e-04,2.7993,bf16,1.5B,32,1564837888
126,7.5381,,1878.18,,4594,7132.9,7132.9,4128768,902.8,902.7,3.78e-04,1.5110,bf16,1.5B,32,1564837888
127,7.6933,,2193.67,,4595,7131.0,7131.0,4161536,909.9,909.8,3.81e-04,1.0798,bf16,1.5B,32,1564837888
128,7.5715,,1942.12,,4593,7134.2,7134.2,4194304,917.0,917.0,3.84e-04,1.1129,bf16,1.5B,32,1564837888
129,7.6567,,2114.83,,4574,7164.1,7164.1,4227072,924.2,924.1,3.87e-04,0.8723,bf16,1.5B,32,1564837888
130,7.5958,,1989.73,,4588,7142.0,7142.0,4259840,931.3,931.3,3.90e-04,0.9052,bf16,1.5B,32,1564837888
131,7.6554,,2111.96,,4565,7178.6,7178.6,4292608,938.5,938.5,3.93e-04,0.6439,bf16,1.5B,32,1564837888
132,7.5539,,1908.10,,4557,7191.2,7191.2,4325376,945.7,945.7,3.96e-04,0.7207,bf16,1.5B,32,1564837888
133,7.5943,,1986.89,,4575,7162.1,7162.1,4358144,952.9,952.8,3.99e-04,0.7184,bf16,1.5B,32,1564837888
134,7.5068,,1820.39,,4556,7192.9,7192.9,4390912,960.1,960.0,4.02e-04,1.2309,bf16,1.5B,32,1564837888
135,7.7782,,2387.86,,4591,7137.4,7137.4,4423680,967.2,967.1,4.05e-04,0.8739,bf16,1.5B,32,1564837888
136,7.6338,,2066.94,,4595,7131.7,7131.7,4456448,974.3,974.3,4.08e-04,0.9597,bf16,1.5B,32,1564837888
137,7.6382,,2076.09,,4592,7136.0,7136.0,4489216,981.5,981.4,4.11e-04,0.7670,bf16,1.5B,32,1564837888
138,7.5521,,1904.78,,4592,7136.1,7136.1,4521984,988.6,988.5,4.14e-04,0.7187,bf16,1.5B,32,1564837888
139,7.5564,,1912.90,,4582,7152.1,7152.1,4554752,995.8,995.7,4.17e-04,0.8363,bf16,1.5B,32,1564837888
140,7.5205,,1845.44,,4584,7147.9,7147.9,4587520,1002.9,1002.8,4.20e-04,0.8089,bf16,1.5B,32,1564837888
141,7.6874,,2180.72,,4595,7130.6,7130.6,4620288,1010.0,1010.0,4.23e-04,0.7592,bf16,1.5B,32,1564837888
142,7.8503,,2566.39,,4603,7118.3,7118.3,4653056,1017.1,1017.1,4.26e-04,0.8201,bf16,1.5B,32,1564837888
143,7.7647,,2355.97,,4591,7136.9,7136.9,4685824,1024.3,1024.2,4.29e-04,0.7561,bf16,1.5B,32,1564837888
144,7.4933,,1796.00,,4583,7150.6,7150.6,4718592,1031.4,1031.4,4.32e-04,0.9498,bf16,1.5B,32,1564837888
145,7.5713,,1941.59,,4581,7152.6,7152.6,4751360,1038.6,1038.5,4.35e-04,0.8972,bf16,1.5B,32,1564837888
146,7.5163,,1837.78,,4592,7135.6,7135.6,4784128,1045.7,1045.7,4.38e-04,0.8525,bf16,1.5B,32,1564837888
147,7.5637,,1927.04,,4573,7165.7,7165.7,4816896,1052.9,1052.8,4.41e-04,0.9409,bf16,1.5B,32,1564837888
