step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
153,6.1807,,483.33,,282367,6962.9,6962.9,300810240,1043.9,1043.9,2.99e-04,1.6690,fp8_tensorwise,250M,80,24,1920,265450496
154,6.2932,,540.90,,292500,6721.6,6721.6,302776320,1050.6,1050.6,2.99e-04,1.6005,fp8_tensorwise,250M,80,24,1920,265450496
155,6.1544,,470.78,,292125,6730.3,6730.3,304742400,1057.3,1057.3,2.99e-04,0.7753,fp8_tensorwise,250M,80,24,1920,265450496
156,6.2496,,517.80,,292086,6731.2,6731.2,306708480,1064.0,1064.0,2.99e-04,1.3620,fp8_tensorwise,250M,80,24,1920,265450496
157,6.2502,,518.12,,292159,6729.5,6729.5,308674560,1070.8,1070.8,2.99e-04,1.5529,fp8_tensorwise,250M,80,24,1920,265450496
158,6.2420,,513.87,,292065,6731.7,6731.7,310640640,1077.5,1077.5,2.99e-04,0.8580,fp8_tensorwise,250M,80,24,1920,265450496
159,6.1894,,487.54,,292259,6727.2,6727.2,312606720,1084.2,1084.2,2.99e-04,1.3894,fp8_tensorwise,250M,80,24,1920,265450496
160,6.2453,,515.60,,291684,6740.4,6740.4,314572800,1091.0,1091.0,2.99e-04,0.8263,fp8_tensorwise,250M,80,24,1920,265450496
161,6.2099,,497.64,,292007,6733.0,6733.0,316538880,1097.7,1097.7,2.99e-04,0.9584,fp8_tensorwise,250M,80,24,1920,265450496
162,6.1856,,485.72,,292262,6727.1,6727.1,318504960,1104.4,1104.4,2.99e-04,1.4163,fp8_tensorwise,250M,80,24,1920,265450496
163,6.0358,,418.12,,292095,6730.9,6730.9,320471040,1111.2,1111.2,2.99e-04,0.5964,fp8_tensorwise,250M,80,24,1920,265450496
164,6.2074,,496.43,,292097,6730.9,6730.9,322437120,1117.9,1117.9,2.99e-04,1.4728,fp8_tensorwise,250M,80,24,1920,265450496
165,6.1093,,450.01,,291699,6740.1,6740.1,324403200,1124.6,1124.6,2.99e-04,0.7153,fp8_tensorwise,250M,80,24,1920,265450496
166,6.0951,,443.67,,291819,6737.3,6737.3,326369280,1131.4,1131.4,2.99e-04,0.7827,fp8_tensorwise,250M,80,24,1920,265450496
167,6.1107,,450.64,,291658,6741.0,6741.0,328335360,1138.1,1138.1,2.99e-04,1.0340,fp8_tensorwise,250M,80,24,1920,265450496
168,6.0709,,433.06,,292080,6731.3,6731.3,330301440,1144.8,1144.8,2.99e-04,0.5962,fp8_tensorwise,250M,80,24,1920,265450496
169,6.2067,,496.07,,292137,6730.0,6730.0,332267520,1151.6,1151.6,2.99e-04,0.7861,fp8_tensorwise,250M,80,24,1920,265450496
170,6.0488,,423.59,,291946,6734.4,6734.4,334233600,1158.3,1158.3,2.99e-04,0.9120,fp8_tensorwise,250M,80,24,1920,265450496
171,6.0651,,430.55,,291569,6743.1,6743.1,336199680,1165.1,1165.0,2.99e-04,0.8377,fp8_tensorwise,250M,80,24,1920,265450496
172,6.1196,,454.67,,291563,6743.2,6743.2,338165760,1171.8,1171.8,2.99e-04,1.1587,fp8_tensorwise,250M,80,24,1920,265450496
173,6.0148,,409.42,,291813,6737.5,6737.5,340131840,1178.5,1178.5,2.99e-04,0.4750,fp8_tensorwise,250M,80,24,1920,265450496
174,6.0712,,433.19,,291528,6744.1,6744.1,342097920,1185.3,1185.3,2.99e-04,0.5773,fp8_tensorwise,250M,80,24,1920,265450496
175,6.0497,,423.98,,291738,6739.2,6739.2,344064000,1192.0,1192.0,2.99e-04,0.7891,fp8_tensorwise,250M,80,24,1920,265450496
176,6.0611,,428.86,,291813,6737.5,6737.5,346030080,1198.8,1198.7,2.99e-04,1.0625,fp8_tensorwise,250M,80,24,1920,265450496
177,6.0188,,411.07,,291880,6735.9,6735.9,347996160,1205.5,1205.5,2.99e-04,0.6166,fp8_tensorwise,250M,80,24,1920,265450496
178,5.9990,,403.03,,292347,6725.2,6725.2,349962240,1212.2,1212.2,2.99e-04,0.5444,fp8_tensorwise,250M,80,24,1920,265450496
179,6.0133,,408.83,,291674,6740.7,6740.7,351928320,1219.0,1219.0,2.99e-04,0.5744,fp8_tensorwise,250M,80,24,1920,265450496
180,6.0182,,410.85,,292200,6728.6,6728.6,353894400,1225.7,1225.7,2.98e-04,0.8169,fp8_tensorwise,250M,80,24,1920,265450496
